Index,Steigung,Level
1,0.5,0
2,0.5,0.5
3,0.5,1
4,0.5,1.5
5,0.5,2
6,0.5,2.5
7,0.5,3
8,0.5,3.5
9,0.5,4
10,0.5,4.5
11,0.5,5
12,0.5,5.5
13,0.5,6
14,0.5,6.5
15,0.5,7
16,0.6,0
17,0.6,0.5
18,0.6,1
19,0.6,1.5
20,0.6,2
21,0.6,2.5
22,0.6,3
23,0.6,3.5
24,0.6,4
25,0.6,4.5
26,0.6,5
27,0.6,5.5
28,0.6,6
29,0.6,6.5
30,0.6,7
31,0.7,0
32,0.7,0.5
33,0.7,1
34,0.7,1.5
35,0.7,2
36,0.7,2.5
37,0.7,3
38,0.7,3.5
39,0.7,4
40,0.7,4.5
41,0.7,5
42,0.7,5.5
43,0.7,6
44,0.7,6.5
45,0.7,7
46,0.8,0
47,0.8,0.5
48,0.8,1
49,0.8,1.5
50,0.8,2
51,0.8,2.5
52,0.8,3
53,0.8,3.5
54,0.8,4
55,0.8,4.5
56,0.8,5
57,0.8,5.5
58,0.8,6
59,0.8,6.5
60,0.8,7
61,0.9,0
62,0.9,0.5
63,0.9,1
64,0.9,1.5
65,0.9,2
66,0.9,2.5
67,0.9,3
68,0.9,3.5
69,0.9,4
70,0.9,4.5
71,0.9,5
72,0.9,5.5
73,0.9,6
74,0.9,6.5
75,0.9,7
76,1,0
77,1,0.5
78,1,1
79,1,1.5
80,1,2
81,1,2.5
82,1,3
83,1,3.5
84,1,4
85,1,4.5
86,1,5
87,1,5.5
88,1,6
89,1,6.5
90,1,7
91,1.1,0
92,1.1,0.5
93,1.1,1
94,1.1,1.5
95,1.1,2
96,1.1,2.5
97,1.1,3
98,1.1,3.5
99,1.1,4
100,1.1,4.5
101,1.1,5
102,1.1,5.5
103,1.1,6
104,1.1,6.5
105,1.1,7
106,1.2,0
107,1.2,0.5
108,1.2,1
109,1.2,1.5
110,1.2,2
111,1.2,2.5
112,1.2,3
113,1.2,3.5
114,1.2,4
115,1.2,4.5
116,1.2,5
117,1.2,5.5
118,1.2,6
119,1.2,6.5
120,1.2,7
121,1.3,0
122,1.3,0.5
123,1.3,1
124,1.3,1.5
125,1.3,2
126,1.3,2.5
127,1.3,3
128,1.3,3.5
129,1.3,4
130,1.3,4.5
131,1.3,5
132,1.3,5.5
133,1.3,6
134,1.3,6.5
135,1.3,7
136,1.4,0
137,1.4,0.5
138,1.4,1
139,1.4,1.5
140,1.4,2
141,1.4,2.5
142,1.4,3
143,1.4,3.5
144,1.4,4
145,1.4,4.5
146,1.4,5
147,1.4,5.5
148,1.4,6
149,1.4,6.5
150,1.4,7
151,1.5,0
152,1.5,0.5
153,1.5,1
154,1.5,1.5
155,1.5,2
156,1.5,2.5
157,1.5,3
158,1.5,3.5
159,1.5,4
160,1.5,4.5
161,1.5,5
162,1.5,5.5
163,1.5,6
164,1.5,6.5
165,1.5,7
166,1.6,0
167,1.6,0.5
168,1.6,1
169,1.6,1.5
170,1.6,2
171,1.6,2.5
172,1.6,3
173,1.6,3.5
174,1.6,4
175,1.6,4.5
176,1.6,5
177,1.6,5.5
178,1.6,6
179,1.6,6.5
180,1.6,7
181,1.7,0
182,1.7,0.5
183,1.7,1
184,1.7,1.5
185,1.7,2
186,1.7,2.5
187,1.7,3
188,1.7,3.5
189,1.7,4
190,1.7,4.5
191,1.7,5
192,1.7,5.5
193,1.7,6
194,1.7,6.5
195,1.7,7
196,1.8,0
197,1.8,0.5
198,1.8,1
199,1.8,1.5
200,1.8,2
201,1.8,2.5
202,1.8,3
203,1.8,3.5
204,1.8,4
205,1.8,4.5
206,1.8,5
207,1.8,5.5
208,1.8,6
209,1.8,6.5
210,1.8,7
211,1.9,0
212,1.9,0.5
213,1.9,1
214,1.9,1.5
215,1.9,2
216,1.9,2.5
217,1.9,3
218,1.9,3.5
219,1.9,4
220,1.9,4.5
221,1.9,5
222,1.9,5.5
223,1.9,6
224,1.9,6.5
225,1.9,7
226,2,0
227,2,0.5
228,2,1
229,2,1.5
230,2,2
231,2,2.5
232,2,3
233,2,3.5
234,2,4
235,2,4.5
236,2,5
237,2,5.5
238,2,6
239,2,6.5
240,2,7
